,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,316.0595397949219,9180.962890625,28807.599609375,1.1062926054000854,1550.4000244140625,172.93814086914062,317.94000244140625,9180.962890625,28807.599609375,1.1062926054000854,1550.4000244140625,180.1199951171875,319.4800109863281,9331.265625,28807.599609375,1.1065618991851807,1577.699951171875,180.63999938964844,315.0299987792969,9112.8115234375,28807.599609375,1.1033873558044434,1547.800048828125,176.30999755859375,318.2799987792969,9292.841796875,28807.599609375,1.1062926054000854,1577.699951171875,177.13999938964844,3779800.0,29893183716,0.0,0.0,978.0,36433300.0
2020-02-05,327.6008605957031,9613.423828125,29290.900390625,1.1047282218933105,1557.800048828125,172.72694396972656,329.54998779296875,9613.423828125,29290.900390625,1.1047282218933105,1557.800048828125,179.89999389648438,329.67999267578125,9701.2998046875,29290.900390625,1.1048502922058105,1560.699951171875,184.1999969482422,319.2300109863281,9163.7041015625,29290.900390625,1.0998317003250122,1547.699951171875,178.41000366210938,320.5,9183.416015625,29290.900390625,1.104472041130066,1553.199951171875,184.02999877929688,6071800.0,35222060874,0.0,0.0,1305.0,39186300.0
2020-02-06,339.4106140136719,9729.8017578125,29379.80078125,1.1002310514450073,1565.0999755859375,176.30821228027344,341.42999267578125,9729.8017578125,29379.80078125,1.1002310514450073,1565.0999755859375,183.6300048828125,343.44000244140625,9824.619140625,29379.80078125,1.1012852191925049,1565.5999755859375,183.82000732421875,325.6600036621094,9539.818359375,29379.80078125,1.0965512990951538,1551.5999755859375,180.05999755859375,330.9100036621094,9617.8212890625,29379.80078125,1.1000494956970215,1553.5999755859375,180.97000122070312,12845500.0,37628823716,0.0,0.0,110.0,27751400.0
2020-02-07,334.75830078125,9795.943359375,29102.5,1.0982975959777832,1568.5999755859375,176.557861328125,336.75,9795.943359375,29102.5,1.0982975959777832,1568.5999755859375,183.88999938964844,340.739990234375,9834.716796875,29102.5,1.0986994504928589,1571.9000244140625,185.6300048828125,335.69000244140625,9726.0029296875,29102.5,1.0946906805038452,1560.5,182.47999572753906,340.3699951171875,9726.0029296875,29102.5,1.0981045961380005,1564.9000244140625,182.85000610351562,5337800.0,34522718159,0.0,0.0,431.0,33529100.0
2020-02-08,,9865.119140625,,,,,,9865.119140625,,,,,,9876.7490234375,,,,,,9678.91015625,,,,,,9793.0703125,,,,,,35172043762,,,,
2020-02-09,,10116.673828125,,,,,,10116.673828125,,,,,,10129.435546875,,,,,,9850.392578125,,,,,,9863.89453125,,,,,,35807884663,,,,
2020-02-10,342.6314697265625,9856.611328125,29276.80078125,1.0949305295944214,1574.699951171875,181.1760711669922,344.6700134277344,9856.611328125,29276.80078125,1.0949305295944214,1574.699951171875,188.6999969482422,345.94000244140625,10165.765625,29276.80078125,1.0961307287216187,1574.699951171875,188.83999633789062,336.32000732421875,9784.5634765625,29276.80078125,1.090959906578064,1568.5999755859375,183.25,337.2200012207031,10115.5595703125,29276.80078125,1.0948705673217773,1569.300048828125,183.5800018310547,5876400.0,39386548075,0.0,0.0,128.0,35844300.0
2020-02-11,342.3829345703125,10208.236328125,29276.30078125,1.0913456678390503,1565.5999755859375,177.0859375,344.4200134277344,10208.236328125,29276.30078125,1.0913456678390503,1565.5999755859375,184.44000244140625,348.07000732421875,10210.052734375,29276.30078125,1.0927003622055054,1571.0999755859375,190.6999969482422,342.1000061035156,9729.3349609375,29276.30078125,1.089348316192627,1561.9000244140625,183.5,347.6400146484375,9855.8916015625,29276.30078125,1.091226577758789,1570.9000244140625,190.64999389648438,5311500.0,37648059389,0.0,0.0,440.0,53159900.0
2020-02-12,345.39501953125,10326.0546875,29551.400390625,1.091941475868225,1567.4000244140625,177.34512329101562,347.45001220703125,10326.0546875,29551.400390625,1.091941475868225,1567.4000244140625,184.7100067138672,349.95001220703125,10393.611328125,29551.400390625,1.0924997329711914,1568.699951171875,185.85000610351562,345.8500061035156,10202.3876953125,29551.400390625,1.0887079238891602,1561.0,181.85000610351562,346.4200134277344,10202.3876953125,29551.400390625,1.0921800136566162,1565.199951171875,185.5800018310547,4421500.0,43444303830,0.0,0.0,36.0,47062900.0
2020-02-13,342.82000732421875,10214.3798828125,29423.30078125,1.0875948667526245,1575.0999755859375,176.38499450683594,342.82000732421875,10214.3798828125,29423.30078125,1.0875948667526245,1575.0999755859375,183.7100067138672,347.8900146484375,10457.626953125,29423.30078125,1.0890873670578003,1575.0999755859375,186.22999572753906,342.6300048828125,10116.1611328125,29423.30078125,1.0835527181625366,1570.199951171875,182.8699951171875,344.32000732421875,10323.9609375,29423.30078125,1.0876421928405762,1570.199951171875,183.0800018310547,3783100.0,49356071373,0.0,0.0,74.0,35295800.0
